imgname,ra,dec
rings.v3.skycell.1324.067.stk.i.unconv.fits,6.99916088822,2.59972081164
rings.v3.skycell.1324.068.stk.i.unconv.fits,6.59894812942,2.59934068077
rings.v3.skycell.1324.069.stk.i.unconv.fits,6.19887206541,2.59883409524
rings.v3.skycell.1324.070.stk.i.unconv.fits,9.80163670441,2.99876517018
rings.v3.skycell.1324.071.stk.i.unconv.fits,9.40146317478,2.99934975793
rings.v3.skycell.1324.072.stk.i.unconv.fits,9.00115284356,2.99978842634
rings.v3.skycell.1324.073.stk.i.unconv.fits,8.60074473868,3.00008098314
rings.v3.skycell.1324.074.stk.i.unconv.fits,8.2002779453,3.00022729999
rings.v3.skycell.1324.075.stk.i.unconv.fits,7.79979158301,3.00022731269
rings.v3.skycell.1324.076.stk.i.unconv.fits,7.39932478285,3.00008102124
rings.v3.skycell.1324.077.stk.i.unconv.fits,6.99891666438,2.99978848982
rings.v3.skycell.1324.078.stk.i.unconv.fits,6.5986063128,2.99934984676
rings.v3.skycell.1324.079.stk.i.unconv.fits,6.19843275604,2.99876528432
rings.v3.skycell.1324.080.stk.i.unconv.fits,9.80207624499,3.39859893932
rings.v3.skycell.1324.081.stk.i.unconv.fits,9.40180517514,3.39926145047
rings.v3.skycell.1324.082.stk.i.unconv.fits,9.00139720357,3.39975859177
rings.v3.skycell.1324.083.stk.i.unconv.fits,8.60089138673,3.40009014531
rings.v3.skycell.1324.084.stk.i.unconv.fits,8.20032683842,3.40025596565
rings.v3.skycell.1324.085.stk.i.unconv.fits,7.79974270686,3.40025598004
rings.v3.skycell.1324.086.stk.i.unconv.fits,7.39917815176,3.40009018848
rings.v3.skycell.1324.087.stk.i.unconv.fits,6.99867232133,3.39975866371
rings.v3.skycell.1324.088.stk.i.unconv.fits,6.59826432938,3.39926155114
rings.v3.skycell.1324.089.stk.i.unconv.fits,6.19799323237,3.39859906868
rings.v3.skycell.1324.090.stk.i.unconv.fits,9.80251600003,3.79829641483
rings.v3.skycell.1324.091.stk.i.unconv.fits,9.40214734243,3.79903676982
rings.v3.skycell.1324.092.stk.i.unconv.fits,9.00164168288,3.79959232428
rings.v3.skycell.1324.093.stk.i.unconv.fits,8.6010381064,3.79996283471
rings.v3.skycell.1324.094.stk.i.unconv.fits,8.20037575542,3.80014813862
rings.v3.skycell.1324.095.stk.i.unconv.fits,7.79969380685,3.8001481547
rings.v3.skycell.1324.096.stk.i.unconv.fits,7.39903144907,3.79996288296
rings.v3.skycell.1324.097.stk.i.unconv.fits,6.99842785899,3.79959240467
rings.v3.skycell.1324.098.stk.i.unconv.fits,6.59792217904,3.79903688232
rings.v3.skycell.1324.099.stk.i.unconv.fits,6.19755349427,3.79829655938
rings.v3.skycell.1325.000.stk.i.unconv.fits,13.7985659117,0.199383536276
rings.v3.skycell.1325.001.stk.i.unconv.fits,13.3990738359,0.199422342822
rings.v3.skycell.1325.002.stk.i.unconv.fits,12.9994456567,0.199451462818
rings.v3.skycell.1325.003.stk.i.unconv.fits,12.599720203,0.199470883517
rings.v3.skycell.1325.004.stk.i.unconv.fits,12.1999363606,0.199480596416
rings.v3.skycell.1325.005.stk.i.unconv.fits,11.8001330492,0.199480597259
rings.v3.skycell.1325.006.stk.i.unconv.fits,11.4003492,0.199470886046
rings.v3.skycell.1325.007.stk.i.unconv.fits,11.0006237328,0.199451467031
rings.v3.skycell.1325.008.stk.i.unconv.fits,10.6009955333,0.199422348719
rings.v3.skycell.1325.009.stk.i.unconv.fits,10.2015034305,0.199383543853
rings.v3.skycell.1325.010.stk.i.unconv.fits,13.7990039555,0.599080877605
rings.v3.skycell.1325.011.stk.i.unconv.fits,13.3994146712,0.599197527544
rings.v3.skycell.1325.012.stk.i.unconv.fits,12.999689184,0.599285060363
rings.v3.skycell.1325.013.stk.i.unconv.fits,12.5998663512,0.599343437736
rings.v3.skycell.1325.014.stk.i.unconv.fits,12.199985087,0.599372634088
rings.v3.skycell.1325.015.stk.i.unconv.fits,11.8000843396,0.599372636622
rings.v3.skycell.1325.016.stk.i.unconv.fits,11.4002030686,0.599343445338
rings.v3.skycell.1325.017.stk.i.unconv.fits,11.0003802224,0.599285073029
rings.v3.skycell.1325.018.stk.i.unconv.fits,10.6006547149,0.599197545269
rings.v3.skycell.1325.019.stk.i.unconv.fits,10.2010654035,0.599080900381
rings.v3.skycell.1325.020.stk.i.unconv.fits,13.7994422127,0.998914546046
rings.v3.skycell.1325.021.stk.i.unconv.fits,13.3997556726,0.999109119052
rings.v3.skycell.1325.022.stk.i.unconv.fits,12.99993283,0.999255124502
rings.v3.skycell.1325.023.stk.i.unconv.fits,12.6000125707,0.999352498446
rings.v3.skycell.1325.024.stk.i.unconv.fits,12.2000338373,0.999401198207
rings.v3.skycell.1325.025.stk.i.unconv.fits,11.8000356063,0.999401202435
rings.v3.skycell.1325.026.stk.i.unconv.fits,11.4000568661,0.999352511126
rings.v3.skycell.1325.027.stk.i.unconv.fits,11.0001365932,0.999255145629
rings.v3.skycell.1325.028.stk.i.unconv.fits,10.6003137304,0.999109148618
rings.v3.skycell.1325.029.stk.i.unconv.fits,10.2006271632,0.998914584037
rings.v3.skycell.1325.030.stk.i.unconv.fits,13.7998806834,1.39884565274
rings.v3.skycell.1325.031.stk.i.unconv.fits,13.4000968401,1.3991182058
rings.v3.skycell.1325.032.stk.i.unconv.fits,13.0001765948,1.39932272665
rings.v3.skycell.1325.033.stk.i.unconv.fits,12.6001588615,1.3994591257
rings.v3.skycell.1325.034.stk.i.unconv.fits,12.2000826112,1.39952734314
rings.v3.skycell.1325.035.stk.i.unconv.fits,11.7999868493,1.39952734906
rings.v3.skycell.1325.036.stk.i.unconv.fits,11.3999105922,1.39945914346
rings.v3.skycell.1325.037.stk.i.unconv.fits,10.9998928454,1.39932275625
rings.v3.skycell.1325.038.stk.i.unconv.fits,10.5999725797,1.39911824721
rings.v3.skycell.1325.039.stk.i.unconv.fits,10.2001887094,1.39884570596
rings.v3.skycell.1325.040.stk.i.unconv.fits,13.8003193678,1.79883525191
rings.v3.skycell.1325.041.stk.i.unconv.fits,13.400438174,1.79918581925
